observation_family,variant,freq_mae_bpm,freq_rmse_bpm,freq_snr_db,time_ccc,time_mae_bpm,time_rmse_bpm
OF-Farneback,Base,0.29,0.39,5.542,0.71,0.58,0.735
OF-Farneback,kfstd,0.28,0.34,7.187,0.79,0.51,0.64
OF-Farneback,QROBF,0.28,0.34,7.054,0.78,0.51,0.66
DoF,Base,2.4,4.015,2.223,0.44,0.79,1.05
DoF,kfstd,1.49,2.19,6.158,0.62,0.68,0.88
DoF,QROBF,2.52,3.45,6.59,0.565,0.725,0.94
Profile1D-Linear,Base,0.335,0.435,6.68,0.58,0.655,0.915
Profile1D-Linear,kfstd,0.285,0.365,11.132,0.84,0.425,0.56
Profile1D-Linear,QROBF,0.27,0.355,9.391,0.81,0.47,0.615
Profile1D-Quadratic,Base,0.195,0.27,7.721,0.81,0.485,0.62
Profile1D-Quadratic,kfstd,0.215,0.3,11.776,0.89,0.36,0.47
Profile1D-Quadratic,QROBF,0.205,0.26,10.299,0.87,0.385,0.5
Profile1D-Cubic,Base,0.22,0.275,7.57,0.81,0.49,0.625
Profile1D-Cubic,kfstd,0.22,0.3,11.71,0.89,0.36,0.47
Profile1D-Cubic,QROBF,0.21,0.275,10.304,0.88,0.39,0.5
